115/03/04 00:10拒絕往來廠商資料,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
54173990,HJ14580P467,川鋒股份有限公司,臺北市士林區延平北路8段242巷19號,中華民國(Republic of China (Taiwan)),3.5.98,國防醫學院,臺北市內湖區成功路二段3,梁凱雯 病歷管理師,(02)87923311#16776,蔡忠川,,HIS2住院系統駐點人力服務案,12 因可歸責於廠商之事由，致解除或終止契約，情節重大者,115/03/03 00:00,115/03/03 00:00,115/03/04 00:00,3個月,115/06/03 23:59,,,,,,一般
83005706,JB14124P106,黑石科技有限公司 (BSC LTD.),新北市新莊區中正路694巷2號5樓,中華民國(Republic of China (Taiwan)),3.5.10.100,國防部軍備局生產製造中心,臺北市南港區昆陽街165號,徐先生,(02)27850271#5607,蘇偉誌,,彈筒乙項,2 借用或冒用他人名義或證件投標者,115/03/02 00:00,115/03/02 00:00,115/03/03 00:00,3年,118/03/02 23:59,,,,,,一般
84966786,JB14124P106,壬盟科技工業股份有限公司,新北市新莊區化成路195巷16號,中華民國(Republic of China (Taiwan)),3.5.10.100,國防部軍備局生產製造中心,臺北市南港區昆陽街165號,徐先生,(02)27850271#5607,蘇進旺,,彈筒乙項,1 容許他人借用本人名義或證件參加投標者,115/03/02 00:00,115/03/02 00:00,115/03/03 00:00,3年,118/03/02 23:59,,,,,,一般
81004738,EP14012P003,專軍企業社,高雄市鳥松區仁美里美山路36巷14-21號1樓,中華民國(Republic of China (Taiwan)),3.5.49,國防部空軍司令部,臺北市中山區北安路387號,吳怜葦,(05)2360505#576417,韓文彬,T1226*****,114-115年度特種車輛委商整修案,12 因可歸責於廠商之事由，致解除或終止契約，情節重大者,115/03/02 00:00,115/03/02 00:00,115/03/03 00:00,3個月,115/06/02 23:59,廠商未提出。,,,,,一般
14010253,C1210A087,瑞弘冷凍科技股份有限公司,新北市中和區中正路442巷10之3號,中華民國(Republic of China (Taiwan)),3.13.50,台灣中油股份有限公司,高雄市楠梓區左楠路2號,廖頤婷,(07)5824141#3400,鄭秀菊,,移動式油氣冷凝回收設備,12 因可歸責於廠商之事由，致解除或終止契約，情節重大者,115/02/26 00:00,115/02/26 00:00,115/02/27 00:00,3個月,115/05/26 23:59,,,,,,一般
12955043,HJ14225P312,倍晶生技股份有限公司 (BESTGEN BIO-TECH CORPORATION),新北市中和區中正路716號2樓,中華民國(Republic of China (Taiwan)),3.5.98,國防醫學院,臺北市內湖區成功路二段325號,王振宇先生（衛材補給保養室）,(02)87923311#17160,黃少穎,,三門藥品冷藏櫃,10 因可歸責於廠商之事由，致延誤履約期限，情節重大者;12 因可歸責於廠商之事由，致解除或終止契約，情節重大者,115/02/25 00:00,115/02/25 00:00,115/02/26 00:00,6個月,115/08/25 23:59,,,,,,一般
12955043,HJ14310P257,倍晶生技股份有限公司 (BESTGEN BIO-TECH CORPORATION),新北市中和區中正路716號2樓,中華民國(Republic of China (Taiwan)),3.5.98,國防醫學院,臺北市內湖區成功路二段325號,王振宇先生（衛材補給保養室）,(02)87923311#17160,黃少穎,,生物安全操作台,8 查驗或驗收不合格，情節重大者;10 因可歸責於廠商之事由，致延誤履約期限，情節重大者;12 因可歸責於廠商之事由，致解除或終止契約，情節重大者,115/02/25 00:00,115/02/25 00:00,115/02/26 00:00,3個月,115/05/25 23:59,,,,,,一般
83713686,11301,凱杰開發有限公司,新北市中和區景平路180號33樓之2,中華民國(Republic of China (Taiwan)),3.82.14.31,新北市泰山區衛生所,新北市泰山區全興路212號3樓,戴曉玉,(02)29099921#214,虞鈞凱,,113年度環境清潔委外勞務採購案,12 因可歸責於廠商之事由，致解除或終止契約，情節重大者,115/02/25 00:00,115/02/25 00:00,115/02/26 00:00,3個月,115/05/25 23:59,,,,,,一般
89137346,113102821,松順國際事業有限公司,臺中市大雅區雅楓里神林南路130號,中華民國(Republic of China (Taiwan)),A.15.1,交通部觀光署,臺北市大安區忠孝東路4段290號9樓,趙淑梅 ,(04)22540809,朱宥綻,,114年旅遊服務中心(臺中服務處)清潔工作勞務委外採購案,4 以虛偽不實之文件投標、訂約或履約，情節重大者,115/02/24 00:00,115/02/24 00:00,115/02/25 00:00,3年,118/02/24 23:59,本署業已於115年1月9日發函(文號:觀服字第11403000242號)至松順公司，如有針對前項不實者，可於收到通知之次日起20日內以書面向本署提出異議，迄至115年2月9日已逾20日期限，本署仍未收到該公司書面異議資料。,,,,,一般
70513263,110Y158,整技科技股份有限公司 (itec Systems Inc.),桃園市桃園區縣府路110號4樓之1,中華民國(Republic of China (Taiwan)),A.17.2.2,勞動部勞動力發展署桃竹苗分署,桃園市楊梅區秀才路八五一號,余安中,(03)4855368#2113,蔡火鎮,,110年物流服務職群AGV無人搬運車採購案,9 驗收後不履行保固責任，情節重大者,115/02/24 00:00,115/02/24 00:00,115/02/25 00:00,6個月,115/08/24 23:59,,,,,,一般
38508371,115W09,祥一企業社,臺北市萬華區漢中街2號2樓,中華民國(Republic of China (Taiwan)),3.79.67.1,臺北市市場處,臺北市大同區迪化街1段21號6樓,徐湘瑩,(02)25505220#2015,黃碧珠,U2202*****,115年度辦公室環境清潔維護勞務委外,7 得標後無正當理由而不訂約者,115/02/24 00:00,115/02/24 00:00,115/02/25 00:00,3個月,115/05/24 23:59,,,,,,一般
27905438,JE13287P248,秉丞精密有限公司,彰化縣和美鎮中寮里東溪路6巷5號,中華民國(Republic of China (Taiwan)),3.5.10.100,國防部軍備局生產製造中心,高雄市大樹區興田里興田路35號,郭勝晏,(07)6562111#758919,林鼎雄,,"機箱3,500個 ",8 查驗或驗收不合格，情節重大者;10 因可歸責於廠商之事由，致延誤履約期限，情節重大者;12 因可歸責於廠商之事由，致解除或終止契約，情節重大者,115/02/24 00:00,115/02/24 00:00,115/02/25 00:00,1年,116/02/24 23:59,未提出異議。,,,,,一般
66423466,ZW11408,吉財通運股份有限公司,高雄市三民區建工路707巷2弄11號,中華民國(Republic of China (Taiwan)),3.97.9.24,高雄市岡山區竹圍國民小學,高雄市岡山區大仁北路1號,謝孝鼎,(07)6233032#2440,朱秀雲,,115年度租用學生交通車,7 得標後無正當理由而不訂約者,115/02/24 00:00,115/02/24 00:00,115/02/25 00:00,3個月,115/05/24 23:59,,,,,,一般
86980828,1060505010A,益新營造工程有限公司,南投縣南投市三興里南崗一路235巷18號1樓,中華民國(Republic of China (Taiwan)),3.76.48,南投縣政府,南投縣南投市中興路660號,工務處-基礎工程科 ,(049)2245257,莊閔鈞,,106鹿谷鄉銀杏森林秘境景觀遊憩施設工程,6 犯第八十七條至第九十二條之罪，經第一審判處拘役、罰金或緩刑者,115/02/23 00:00,115/02/23 00:00,115/02/24 00:00,1年,116/02/23 23:59,,,,,,一般
52928276,11315,文薈國際有限公司,桃園市平鎮區平南里10鄰金城街12號,中華民國(Republic of China (Taiwan)),44914209,桃園市龍潭區農會,桃園市龍潭區東龍路100號,陳光國,(03)4794137#100,丁啟軒,,2024年全國優質東方美人茶評鑑比賽暨產品推廣行銷活動,1 容許他人借用本人名義或證件參加投標者,115/02/23 00:00,115/02/23 00:00,115/02/24 00:00,3年,118/02/23 23:59,,,,,,一般
28532458,11315,醇藝媒體廣告行銷有限公司,桃園市中壢區中央里中台路29號3樓,中華民國(Republic of China (Taiwan)),44914209,桃園市龍潭區農會,桃園市龍潭區東龍路100號,陳光國,(03)4794137#100,王同耀,,2024年全國優質東方美人茶評鑑比賽暨產品推廣行銷活動,1 容許他人借用本人名義或證件參加投標者,115/02/23 00:00,115/02/23 00:00,115/02/24 00:00,3年,118/02/23 23:59,,,,,,一般
97328826,11315,思源傳播有限公司,臺北市信義區莊敬路325巷60號8樓,中華民國(Republic of China (Taiwan)),44914209,桃園市龍潭區農會,桃園市龍潭區東龍路100號,陳光國,(03)4794137#100,吳坤治,,2024年全國優質東方美人茶評鑑比賽暨產品推廣行銷活動,2 借用或冒用他人名義或證件投標者,115/02/23 00:00,115/02/23 00:00,115/02/24 00:00,3年,118/02/23 23:59,,,,,,一般
97328826,11210,思源傳播有限公司,臺北市信義區莊敬路325巷60號8樓,中華民國(Republic of China (Taiwan)),44914209,桃園市龍潭區農會,桃園市龍潭區東龍路100號,陳光國,(03)4794137#100,吳坤治,,112年度桃園市優質紅茶評鑑比賽暨產品行銷推廣活動,1 容許他人借用本人名義或證件參加投標者,115/02/23 00:00,115/02/23 00:00,115/02/24 00:00,3年,118/02/23 23:59,,,,,,一般
52928276,11210,文薈國際有限公司,桃園市平鎮區平南里10鄰金城街12號,中華民國(Republic of China (Taiwan)),44914209,桃園市龍潭區農會,桃園市龍潭區東龍路100號,陳光國,(03)4794137#100,丁啟軒,,112年度桃園市優質紅茶評鑑比賽暨產品行銷推廣活動,1 容許他人借用本人名義或證件參加投標者,115/02/23 00:00,115/02/23 00:00,115/02/24 00:00,3年,118/02/23 23:59,,,,,,一般
28532458,11210,醇藝媒體廣告行銷有限公司,桃園市中壢區中央里中台路29號3樓,中華民國(Republic of China (Taiwan)),44914209,桃園市龍潭區農會,桃園市龍潭區東龍路100號,陳光國,(03)4794137#100,王同耀,,112年度桃園市優質紅茶評鑑比賽暨產品行銷推廣活動,2 借用或冒用他人名義或證件投標者,115/02/23 00:00,115/02/23 00:00,115/02/24 00:00,3年,118/02/23 23:59,,,,,,一般
97328826,11316,思源傳播有限公司,臺北市信義區莊敬路325巷60號8樓,中華民國(Republic of China (Taiwan)),44914209,桃園市龍潭區農會,桃園市龍潭區東龍路100號,陳光國,(03)4794137#100,吳坤治,,113年度桃園市優質紅茶評鑑比賽暨產品行銷推廣活動,1 容許他人借用本人名義或證件參加投標者,115/02/23 00:00,115/02/23 00:00,115/02/24 00:00,3年,118/02/23 23:59,,,,,,一般
28532458,11316,醇藝媒體廣告行銷有限公司,桃園市中壢區中央里中台路29號3樓,中華民國(Republic of China (Taiwan)),44914209,桃園市龍潭區農會,桃園市龍潭區東龍路100號,陳光國,(03)4794137#100,王同耀,,113年度桃園市優質紅茶評鑑比賽暨產品行銷推廣活動,2 借用或冒用他人名義或證件投標者,115/02/23 00:00,115/02/23 00:00,115/02/24 00:00,3年,118/02/23 23:59,,,,,,一般
27775569,1161300021,佑乙汽車企業有限公司,屏東縣屏東市前進里建國路418-9號,中華民國(Republic of China (Taiwan)),3.13.31.3,台灣電力股份有限公司台北北區營業處,臺北市北投區立德路1號,林世泓,(02)28881678#7610,林世杰,,變電所維護試驗車1輛,2 借用或冒用他人名義或證件投標者,115/02/13 00:00,115/02/13 00:00,115/02/14 00:00,3年,118/02/13 23:59,,,,,,一般
85008518,113208,隆陞國際有限公司,新北市新店區寶元路2段18巷7號,中華民國(Republic of China (Taiwan)),3.79.5.10,臺北市立建國高級中學,臺北市中正區南海路56號,游宗翰,(02)23034381#503,蘇宜靜,,113年度改善校園運動環境安全財物採購案,2 借用或冒用他人名義或證件投標者,115/02/13 00:00,115/02/13 00:00,115/02/14 00:00,3年,118/02/13 23:59,,,,,,一般
90440319,113208,桓丰實業有限公司,臺中市北屯區水湳里文心路三段447號4樓,中華民國(Republic of China (Taiwan)),3.79.5.10,臺北市立建國高級中學,臺北市中正區南海路56號,游宗翰,(02)23034381#503,彭國瑋,,113年度改善校園運動環境安全財物採購案,1 容許他人借用本人名義或證件參加投標者,115/02/13 00:00,115/02/13 00:00,115/02/14 00:00,3年,118/02/13 23:59,,,,,,一般
22507426,FAC1302002,樹旺機械工程有限公司,新北市樹林區文化街61號2樓,中華民國(Republic of China (Taiwan)),3.13.50.23,台灣中油股份有限公司探採研究所,苗栗縣苗栗市文聖里文發路達園一號,游承熹,(037)356150#130,林生,,探採研究所安全母索及不鏽鋼安全護欄裝設,6 犯第八十七條至第九十二條之罪，經第一審判處拘役、罰金或緩刑者,115/02/13 00:00,115/02/13 00:00,115/02/14 00:00,1年,116/02/13 23:59,,,,,,一般
90575202,FAC1302002,良橙工程有限公司,新北市樹林區文化街61號2樓,中華民國(Republic of China (Taiwan)),3.13.50.23,台灣中油股份有限公司探採研究所,苗栗縣苗栗市文聖里文發路達園一號,游承熹,(037)356150#130,林彥鋮,,探採研究所安全母索及不鏽鋼安全護欄裝設,6 犯第八十七條至第九十二條之罪，經第一審判處拘役、罰金或緩刑者,115/02/13 00:00,115/02/13 00:00,115/02/14 00:00,1年,116/02/13 23:59,,,,,,一般
90399846,114A-211,銓鴻營造有限公司,臺中市大肚區沙田路三段435號,中華民國(Republic of China (Taiwan)),3.87.10.2,臺中市養護工程處,臺中市潭子區豐興路一段512號5樓,童靖雅,(04)22289111#34506,蔡依洲,,臺中市沙鹿區中山路（臺灣大道七段至瑞國加油站）道路改善工程,7 得標後無正當理由而不訂約者,115/02/12 00:00,115/02/12 00:00,115/02/13 00:00,3個月,115/05/12 23:59,,,,,,一般
22880541,ED1081700002,強生醫療儀器股份有限公司,新北市汐止區中興路43之2號,中華民國(Republic of China (Taiwan)),05200169,財團法人伊甸社會福利基金會,臺北市文山區萬和街6號4樓,潘以豪,(02)22307715#6261,及時行樂投資有限公司,,宜蘭教養院電動病床設備採購案,6 犯第八十七條至第九十二條之罪，經第一審為有罪判決者,115/02/12 00:00,115/02/12 00:00,115/02/13 00:00,3年,118/02/12 23:59,,,,,,一般
24848863,ED1081700002,仁人醫療器材有限公司,宜蘭縣羅東鎮南昌里中正南路118號1樓,中華民國(Republic of China (Taiwan)),05200169,財團法人伊甸社會福利基金會,臺北市文山區萬和街6號4樓,潘以豪,(02)22307715#6261,吳鳳英,,宜蘭教養院電動病床設備採購案,6 犯第八十七條至第九十二條之罪，經第一審為有罪判決者,115/02/12 00:00,115/02/12 00:00,115/02/13 00:00,3年,118/02/12 23:59,,,,,,一般
52511616,ED1081700002,宥薪有限公司,臺北市內湖區瑞光路66巷23號4樓,中華民國(Republic of China (Taiwan)),05200169,財團法人伊甸社會福利基金會,臺北市文山區萬和街6號4樓,潘以豪,(02)22307715#6261,吳生宥,,宜蘭教養院電動病床設備採購案,6 犯第八十七條至第九十二條之罪，經第一審為有罪判決者,115/02/12 00:00,115/02/12 00:00,115/02/13 00:00,3年,118/02/12 23:59,,,,,,一般
87349745,11305,有三圭企業社,花蓮縣吉安鄉慶豐村中山路3段780號1樓,中華民國(Republic of China (Taiwan)),3.76.55.56,花蓮縣壽豐鄉公所,花蓮縣壽豐鄉壽豐村壽山路26號,王朝梅,(03)8652131#706,高若芸,U2202*****,113年度垃圾車、資源回收車等車輛維修(開口契約),4 以虛偽不實之文件投標、訂約或履約，情節重大者,115/02/12 00:00,115/02/12 00:00,115/02/13 00:00,3年,118/02/12 23:59,廠商申訴，經行政院公共工程委員會採購申訴審議委員會審議駁回申訴。,,,,,一般
90846438,JE14088P046,雄雲企業有限公司,高雄市岡山區柳橋東路71號1樓,中華民國(Republic of China (Taiwan)),3.5.10.100,國防部軍備局生產製造中心,臺北市南港區昆陽街165號,王得傳,(07)6262111#758200,顧若庭,,活塞刮刀等15項,10 因可歸責於廠商之事由，致延誤履約期限，情節重大者;12 因可歸責於廠商之事由，致解除或終止契約，情節重大者,115/02/11 00:00,115/02/11 00:00,115/02/12 00:00,6個月,115/08/11 23:59,承商於115年1月15日至2月4日期間未提出異議。,,,,,一般
54966747,SUC11009,坤灃營造有限公司,連江縣南竿鄉清水村88號,中華民國(Republic of China (Taiwan)),3.71.3,連江縣政府,連江縣南竿鄉清水村136-1號,趙淑英,(0836)22393#211,周天利,,110年連江縣南竿鄉士兵特約茶室周邊景觀優化計畫工程,6 犯第八十七條至第九十二條之罪，經第一審判處拘役、罰金或緩刑者,115/02/11 00:00,115/02/11 00:00,115/02/12 00:00,1年,116/02/11 23:59,,,,,,一般
23492148,113B008B,運通環保股份有限公司,高雄市苓雅區大順三路183號3樓之7,中華民國(Republic of China (Taiwan)),A.19.12.1,農業部畜產試驗所北區分所,苗栗縣西湖鄉五湖村埤頭面207-5號,劉士銘,(04)8884106#35,吳東霖,,「豬舍廢水及廢棄物處理相關設施設備」財物採購案 ,12 因可歸責於廠商之事由，致解除或終止契約，情節重大者,115/02/11 00:00,115/02/11 00:00,115/02/12 00:00,3個月,115/05/11 23:59,申訴駁回。,,,,,一般
12144164,1131210-4,台灣租車股份有限公司,臺北市內湖區民權東路6段160號11樓之3,中華民國(Republic of China (Taiwan)),3.80.30,桃園市政府觀光旅遊局,桃園市桃園區縣府路1號8樓,楊雅媛,(03)3322101#5263,徐浩源,,桃園市旅遊套裝遊程及觀光交通改善規劃執行案,12 因可歸責於廠商之事由，致解除或終止契約，情節重大者,115/02/10 00:00,115/02/10 00:00,115/02/11 00:00,3個月,115/05/10 23:59,,,,,,一般
94719693,4801300114,幸安企業社,高雄市苓雅區苓東里永平路１２巷１９號１樓,中華民國(Republic of China (Taiwan)),3.13.31.94,台灣電力股份有限公司台中供電區營運處,臺中市霧峰區民生路193號,吳佩蓉,(04)23335627#409,李婞榕,E2242*****,114年度本處彰南區各轄所、線務段等辦公場所清潔勞務工作,4 以虛偽不實之文件投標、訂約或履約，情節重大者,115/02/10 00:00,115/02/10 00:00,115/02/11 00:00,3年,118/02/10 23:59,無,,,,,一般
83685823,te11400301,永護健康管理顧問股份有限公司 (CARE2U Corporation),新北市新店區北新路3段213號15樓,中華民國(Republic of China (Taiwan)),3.79.53.4,臺北市交通管制工程處,臺北市信義區松德路300號七樓,李韋澔,(02)27599741#7518,莊秉憲,,114年度特約醫護人員臨場健康服務勞務採購案,11 違反第六十五條規定轉包者,115/02/10 00:00,115/02/10 00:00,115/02/11 00:00,3個月,115/05/10 23:59,,,,,,一般
29006502,JE07013L122,"攻衛股份有限公司 (GONG  WEI  CO.,  LTD)",高雄市苓雅區自強三路3號15樓之1,中華民國(Republic of China (Taiwan)),3.5,國防部,臺北市中山區北安路409號,邢小姐,(02)23116117#638617,孫玉,,纖維疊層不織布,12 因可歸責於廠商之事由，致解除或終止契約，情節重大者,115/02/09 00:00,115/02/09 00:00,115/02/10 00:00,1年,116/02/09 23:59,廠商未提異議,,,,,一般
29006502,JE07022L142,"攻衛股份有限公司 (GONG  WEI  CO.,  LTD)",高雄市苓雅區自強三路3號15樓之1,中華民國(Republic of China (Taiwan)),3.5,國防部,臺北市中山區北安路409號,邢小姐,(02)23116117#638617,孫玉,,抗彈纖維布(抗彈板),12 因可歸責於廠商之事由，致解除或終止契約，情節重大者,114/04/21 00:00,115/02/09 00:00,114/04/22 00:00,1年,115/04/21 23:59,廠商未提異議,,,,,一般
29006502,JE07022L142,"攻衛股份有限公司 (GONG  WEI  CO.,  LTD)",高雄市苓雅區自強三路3號15樓之1,中華民國(Republic of China (Taiwan)),3.5,國防部,臺北市中山區北安路409號,邢小姐,(02)23116117#638617,孫玉,,抗彈纖維布(抗彈板),12 因可歸責於廠商之事由，致解除或終止契約，情節重大者,114/04/21 00:00,115/02/09 00:00,114/04/22 00:00,1年,115/04/21 23:59,廠商未提申訴,,,,,一般
85047358,JK14010P006,佶晟事業有限公司,臺北市士林區延平北路6段176巷6弄30號3樓,中華民國(Republic of China (Taiwan)),3.5.10.100,國防部軍備局生產製造中心,南投縣集集鎮龍泉巷15號,劉育豪,(049)2781077,劉明杰,,駕駛艙蓋定位裝置總成等10項,8 查驗或驗收不合格，情節重大者;10 因可歸責於廠商之事由，致延誤履約期限，情節重大者;12 因可歸責於廠商之事由，致解除或終止契約，情節重大者,115/02/06 00:00,115/02/06 00:00,115/02/07 00:00,1年,116/02/06 23:59,,,,,,一般
93492542,JK13083P077,泓承精密工業有限公司,新北市三重區仁義街194號2樓,中華民國(Republic of China (Taiwan)),3.5.10.100,國防部軍備局生產製造中心,南投縣集集鎮龍泉巷15號,葉小姐,(049)2781077,蔡麗紅,,繫帶總成等180項,8 查驗或驗收不合格，情節重大者;10 因可歸責於廠商之事由，致延誤履約期限，情節重大者;12 因可歸責於廠商之事由，致解除或終止契約，情節重大者,115/02/06 00:00,115/02/06 00:00,115/02/07 00:00,3個月,115/05/06 23:59,無,,,,,一般
24822667,FCB1414006,"威量高端儀器股份有限公司 (World Metrology Co., Ltd.)",臺中市烏日區溪南路2段648號1樓,中華民國(Republic of China (Taiwan)),3.13.50.23,台灣中油股份有限公司探採研究所,苗栗縣苗栗市文聖里文發路達園一號,游承熹,(037)356150#130,黃湧為,,單軸抗壓強度試驗機控制單元故障維修,12 因可歸責於廠商之事由，致解除或終止契約，情節重大者,115/02/06 00:00,115/02/06 00:00,115/02/07 00:00,1年,116/02/06 23:59,廠商未提異議。,,,,,一般
04988886,108KLEPB-AE03,僑福營造股份有限公司,臺北市萬華區和平西路3段300號1樓,中華民國(Republic of China (Taiwan)),3.76.57.3.5,基隆市環境保護局,基隆市信義區東光路二五三號,陳世鐘,(02)24651115#313,甘明豐,,田寮河水質改善現地處理及水環境營造工程,3 擅自減省工料，情節重大者;8 查驗或驗收不合格，情節重大者,115/02/05 00:00,115/02/05 00:00,115/02/06 00:00,3年,118/02/05 23:59,,,,,,一般
24627643,NO1140028,台灣消防工程股份有限公司,桃園市觀音區草新里四維路75巷46號(1樓),中華民國(Republic of China (Taiwan)),02717206,國家原子能科技研究院,桃園市龍潭區佳安里文化路1000號,陳寬治,(03)4711400#2336,傅梅英,,114年度消防安全設備維修開口合約,12 因可歸責於廠商之事由，致解除或終止契約，情節重大者,115/02/05 00:00,115/02/05 00:00,115/02/06 00:00,3個月,115/05/05 23:59,,,,,,一般
53055144,PD10316P344,中仁醫用氣體股份有限公司,屏東縣潮州鎮興美里興美路61之15號,中華民國(Republic of China (Taiwan)),3.5.48,國防部海軍司令部,高雄市左營區左營郵政90192附8號信箱,供應處採購科,(07)5825562,魏正霖,,各型艦艇美式MK-7充氣式救生筏氣瓶檢測(含氣體填充)等4項委商,4 以虛偽不實之文件投標、訂約或履約，情節重大者,115/02/03 00:00,115/02/03 00:00,115/02/04 00:00,3年,118/02/03 23:59,廠商所提異議經本部審認後予以駁回。,,,,,一般
