115/03/10  優良廠商資料,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
90406810,寰衡有限公司,嘉義市西區保福里興達路500號2樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
23393386,田茂營造事業有限公司,宜蘭縣羅東鎮西安里純精路一段27號1樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
28961160,邑菖工程顧問有限公司,新北市永和區保生路2號19樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
54747005,睿泰工程顧問有限公司,臺中市南屯區五權西路二段131號六樓之2,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
94804902,松東營造股份有限公司,雲林縣水林鄉水南村埔尾路33-2號1樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
70728594,來永營造有限公司,南投縣魚池鄉東池村文武巷18之8號,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
53985696,鼎晟工程顧問有限公司,臺中市烏日區三榮路一段171號,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
54817249,勇翔營造有限公司,新竹縣寶山鄉雙園路二段323號,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
85892495,瑞鋒營造股份有限公司,高雄市左營區富國路185號,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
13057666,亞際工程技術顧問有限公司,臺中市大里區國光路二段252號一樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
55882442,佶鼎營造有限公司,彰化縣溪州鄉俊仁路10號一樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
83362062,鉅耀工程顧問股份有限公司,臺中市西屯區西屯路二段256巷6號十一樓之2,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
04132192,許常吉建築師事務所,臺北市南港區八德路四段768巷3號2樓之1,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
13533129,鑄力聯合建築師事務所,臺北市中山區八德路二段308號10樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
54611350,上鋌營造股份有限公司,高雄市大社區嘉保路360號,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
22428605,宇泰工程顧問有限公司,臺北市松山區南京東路5段145之1號12樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
90292387,信運工程顧問有限公司,高雄市鳳山區勝利路73號,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
16412099,堃成營造股份有限公司,臺中市西屯區文心路三段241號4樓之6,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
80077418,源隆技術顧問有限公司,雲林縣斗六市大同路300之17號1樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
97586963,黎明工程顧問股份有限公司,臺中市南屯區大墩十七街137號3樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
22705087,承隆能源科技股份有限公司,臺北市內湖區瑞光路258巷2號10樓之4,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
79994734,鑫豐營造有限公司,高雄市燕巢區瓊林里瓊林路101號1樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
28159281,黃苑景觀設計顧問有限公司,高雄市三民區裕誠路 62-5 號 6 樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
90424465,日商傑富意工程技術股份有限公司台灣分公司,桃園市觀音區白玉三路26-1號,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
94750878,順風營造有限公司,花蓮縣花蓮市國裕里富吉路83號,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
54040253,都市里人規劃設計有限公司,臺北市大安區忠孝東路四段320號4樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
28621901,俊鼎機械廠股份有限公司,高雄市大社區興工路5號,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
20817282,中鼎工程股份有限公司,臺北市士林區中山北路六段89號,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
42965639,馬來西亞商金務大工程股份有限公司台灣分公司,臺北市信義區市民大道6段288號8樓之7,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
12533071,豐順營造股份有限公司,臺北市中山區中山北路三段49號2樓之1,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
84124259,中興工程顧問股份有限公司,臺北市松山區南京東路五段171號14樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
66394146,潤弘精密工程事業股份有限公司,臺北市中山區八德路二段308號10樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
97282032,星能股份有限公司,臺北市內湖區瑞光路480號12樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
28412550,台灣世曦工程顧問股份有限公司,臺北市內湖區陽光街323號3樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
00967656,張仲怡建築師事務所,臺北市大安區忠孝東路四段181巷42號2樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
80037015,雄風工程顧問有限公司,臺中市西屯區寶慶街31號1樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
53130312,鼎擴工程有限公司,臺中市西屯區大鵬里文心路三段219號5樓之1,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
84809230,鼎旺營造股份有限公司,臺中市北屯區太和路二段93號2樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
26321132,徐佳楢建築師事務所,新北市永和區保生路2號16樓之1,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
23145632,帆宣系統科技股份有限公司,臺北市南港區園區街3-2號6F,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」 特優工程，公告日起獎勵2年。
34342717,皇昌營造股份有限公司,臺北市內湖區潭美街539號23樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」 特優工程，公告日起獎勵2年。
04803543,上水股份有限公司,臺北市中山區德惠街16之5號7樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共設施維護管理獎」優等設施，公告日起獎勵2年。
84874956,群輝營造工程有限公司,嘉義市西區興達路278號,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共設施維護管理獎」優等設施，公告日起獎勵2年。
23029824,青山工程顧問股份有限公司,臺北市南港區成功路一段32號八樓之6,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共設施維護管理獎」優等設施，公告日起獎勵2年。
28412550,台灣世曦工程顧問股份有限公司,臺北市內湖區陽光街323號3樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共設施維護管理獎」優等設施，公告日起獎勵2年。
27950876,中華電信股份有限公司企業客戶分公司,臺北市大安區信義路四段88號,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共設施維護管理獎」優等設施，公告日起獎勵2年。
97586963,黎明工程顧問股份有限公司,臺中市南屯區大墩十七街137號3樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共設施維護管理獎」優等設施，公告日起獎勵2年。
80218450,晉國工程顧問有限公司,臺中市北屯區文心路三段1023號5樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」 特優工程，公告日起獎勵2年。
84669483,總督營造股份有限公司,臺中市南屯區五權西路二段131號9樓之3,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」 特優工程，公告日起獎勵2年。
28782878,宥穎工程有限公司,臺中市北區臺灣大道二段360號7樓之2,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」 特優工程，公告日起獎勵2年。
55872697,大將作工業股份有限公司,臺中市北區臺灣大道二段360號22樓之1,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」 特優工程，公告日起獎勵2年。
86083681,翔益營造有限公司,新北市蘆洲區光華路162巷19號4樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」 特優工程，公告日起獎勵2年。
97586963,黎明工程顧問股份有限公司,臺中市南屯區大墩十七街137號3樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」 特優工程，公告日起獎勵2年。
14939652,王正源建築師事務所,新北市中和區中和路366號5樓之2,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」 特優工程，公告日起獎勵2年。
04723653,亞新工程顧問股份有限公司,新北市汐止區新台五路一段112號22樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」 特優工程，公告日起獎勵2年。
00990312,大林聯合建築師事務所,臺北市松山區南京東路五段108號9樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」 特優工程，公告日起獎勵2年。
29201076,陳章安建築師事務所,臺北市大安區敦化南路二段168號4樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」 特優工程，公告日起獎勵2年。
80077418,源隆技術顧問有限公司,雲林縣斗六市大同路300之17號1樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」 特優工程，公告日起獎勵2年。
