統一編號,公司名稱,電話,進口資格,出口資格,查詢時間
00037050,老井福科餐飲股份有限公司,04-24180511,有 YES,有 YES,2025-09-30 17:24:42
00037185,,,,2025-09-30 17:24:44,
00037278,,,,2025-09-30 17:24:45,
00037360,,,,2025-09-30 17:24:46,
00037827,,,,2025-09-30 17:24:47,
00037925,柏越投資有限公司,,有 YES,有 YES,2025-09-30 17:24:48
00038065,,,,2025-09-30 17:24:49,
00038305,,,,2025-09-30 17:24:50,
00038396,,,,2025-09-30 17:24:51,
00038522,,,,2025-09-30 17:24:52,
00038558,,,,2025-09-30 17:24:53,
00038591,,,,2025-09-30 17:24:54,
00038889,,,,2025-09-30 17:24:56,
00039120,,,,2025-09-30 17:24:57,
00039297,,,,2025-09-30 17:24:58,
00039521,,,,2025-09-30 17:24:59,
00040246,,,,2025-09-30 17:25:00,
00040301,,,,2025-09-30 17:25:01,
00040463,,,,2025-09-30 17:25:02,
00040695,,,,2025-09-30 17:25:04,
00040787,,,,2025-09-30 17:25:05,
00040908,,,,2025-09-30 17:25:06,
00040941,,,,2025-09-30 17:25:07,
00040956,台誠國際股份有限公司,,有 YES,有 YES,2025-09-30 17:25:10
00040999,,,,2025-09-30 17:25:11,
00041110,百興健康科技股份有限公司,,有 YES,有 YES,2025-09-30 17:25:12
00041266,鍾鼎投資股份有限公司,0923715199,有 YES,有 YES,2025-09-30 17:25:13
00041408,,,,2025-09-30 17:25:14,
00041625,全境教育股份有限公司,,有 YES,有 YES,2025-09-30 17:25:15
00041673,,,,2025-09-30 17:25:16,
00041929,,,,2025-09-30 17:25:17,
00041934,,,,2025-09-30 17:25:21,
00042053,,,,2025-09-30 17:25:22,
00042069,,,,2025-09-30 17:25:24,
00042080,,,,2025-09-30 17:25:25,
00042188,,,,2025-09-30 17:25:26,
00042259,,,,2025-09-30 17:25:27,
00042321,,,,2025-09-30 17:25:28,
00042413,台灣新鴻洲精密股份有限公司,,有 YES,有 YES,2025-09-30 17:25:29
00042461,,,,2025-09-30 17:25:30,
00042477,,,,2025-09-30 17:25:31,
00042498,潮季生鮮農產有限公司,05-2303277,有 YES,有 YES,2025-09-30 17:25:32
00042618,,,,2025-09-30 17:25:33,
00042639,艾克米科技有限公司,0920622859,有 YES,有 YES,2025-09-30 17:25:35
00042808,千庭股份有限公司,02-25210251#1609,有 YES,有 YES,2025-09-30 17:25:36
00042906,,,,2025-09-30 17:25:37,
00043068,佳仁投資有限公司,,有 YES,有 YES,2025-09-30 17:25:38
00043362,,,,2025-09-30 17:25:39,
00043433,,,,2025-09-30 17:25:40,
00043588,,,,2025-09-30 17:25:40,
00043659,,,,2025-09-30 17:25:42,
00043709,,,,2025-09-30 17:25:43,
00043757,,,,2025-09-30 17:25:44,
00043784,,,,2025-09-30 17:25:44,
00043953,,,,2025-09-30 17:25:45,
00043969,宇全智聯股份有限公司,02-27226266,有 YES,有 YES,2025-09-30 17:25:46
00044003,,,,2025-09-30 17:25:47,
00044215,,,,2025-09-30 17:25:48,
00044566,,,,2025-09-30 17:25:49,
00044812,,,,2025-09-30 17:25:49,
00044876,鑫躍不動產投資開發股份有限公司,04-23265045,有 YES,有 YES,2025-09-30 17:25:50
00044881,,,,2025-09-30 17:25:51,
00044968,言恩科技股份有限公司,,有 YES,有 YES,2025-09-30 17:25:52
00045116,,,,2025-09-30 17:25:53,
00045185,諾妍科技股份有限公司,02-77160090,有 YES,有 YES,2025-09-30 17:25:54
00045328,,,,2025-09-30 17:25:55,
00045354,,,,2025-09-30 17:25:56,
00045495,,,,2025-09-30 17:25:57,
00045642,,,,2025-09-30 17:25:58,
00045684,迅能電機科技有限公司,,有 YES,有 YES,2025-09-30 17:25:58
00045951,,,,2025-09-30 17:25:59,
00045988,雅德材料股份有限公司,02-25026220,有 YES,有 YES,2025-09-30 17:26:00
00046190,,,,2025-09-30 17:26:01,
00046298,森耀醫股份有限公司,03-4333123,有 YES,有 YES,2025-09-30 17:26:02
00046375,威杰能源股份有限公司,,有 YES,有 YES,2025-09-30 17:26:03
00046419,,,,2025-09-30 17:26:04,
00046558,,,,2025-09-30 17:26:04,
00046614,,,,2025-09-30 17:26:05,
00046699,,,,2025-09-30 17:26:07,
00047108,,,,2025-09-30 17:26:07,
00047803,,,,2025-09-30 17:26:08,
00047867,,,,2025-09-30 17:26:09,
00047901,,,,2025-09-30 17:26:10,
00048021,,,,2025-09-30 17:26:11,
00048057,,,,2025-09-30 17:26:12,
00048107,,,,2025-09-30 17:26:13,
00048248,,,,2025-09-30 17:26:14,
00048465,,,,2025-09-30 17:26:15,
00048556,,,,2025-09-30 17:26:15,
00048850,,,,2025-09-30 17:26:16,
00049149,,,,2025-09-30 17:26:17,
00049252,,,,2025-09-30 17:26:18,
00049274,銀霧運動整合行銷股份有限公司,,有 YES,有 YES,2025-09-30 17:26:18
00049345,,,,2025-09-30 17:26:19,
00049632,聿翔生物科技股份有限公司,0912569173,有 YES,有 YES,2025-09-30 17:26:20
00049859,上好企業有限公司,,有 YES,有 YES,2025-09-30 17:26:21
00049957,,,,2025-09-30 17:26:21,
00050047,,,,2025-09-30 17:26:24,
00050187,,,,2025-09-30 17:26:25,
00050362,,,,2025-09-30 17:26:26,
00050433,,,,2025-09-30 17:26:26,
00050763,鶴氏國際股份有限公司,,有 YES,有 YES,2025-09-30 17:26:27
00050948,,,,2025-09-30 17:26:28,
00050975,,,,2025-09-30 17:26:29,
00051088,,,,2025-09-30 17:26:30,
00051329,,,,2025-09-30 17:26:30,
00051334,,,,2025-09-30 17:26:31,
00051741,,,,2025-09-30 17:26:32,
00051910,,,,2025-09-30 17:26:33,
00052397,,,,2025-09-30 17:26:34,
00052404,,,,2025-09-30 17:26:35,
00053142,,,,2025-09-30 17:26:36,
00053706,,,,2025-09-30 17:26:37,
00053852,,,,2025-09-30 17:26:37,
00054037,華矽系統科技有限公司,02-29599180#288,有 YES,有 YES,2025-09-30 17:26:38
00054108,宇豐半導體股份有限公司,,有 YES,有 YES,2025-09-30 17:26:39
00054156,,,,2025-09-30 17:26:40,
00054228,晴川之秘國際有限公司,0975878886,有 YES,有 YES,2025-09-30 17:26:41
00054374,,,,2025-09-30 17:26:41,
00054466,,,,2025-09-30 17:26:43,
00055205,,,,2025-09-30 17:26:44,
00055232,,,,2025-09-30 17:26:45,
00055325,,,,2025-09-30 17:26:46,
00055423,,,,2025-09-30 17:26:47,
00055541,,,,2025-09-30 17:26:49,
00055654,,,,2025-09-30 17:26:50,
00055697,,,,2025-09-30 17:26:52,
00055872,,,,2025-09-30 17:26:53,
00056008,,,,2025-09-30 17:26:54,
00056181,,,,2025-09-30 17:27:06,
00056400,,,,2025-09-30 17:27:07,
00056464,其立家有限公司,037-465789,有 YES,有 YES,2025-09-30 17:27:08
00056675,,,,2025-09-30 17:27:08,
00056767,,,,2025-09-30 17:27:09,
00056942,永昌盛投資有限公司,02-2692-7518,有 YES,有 YES,2025-09-30 17:27:11
00057392,,,,2025-09-30 17:27:12,
00057745,,,,2025-09-30 17:27:12,
00057816,,,,2025-09-30 17:27:16,
00057956,鉅霖國際實業有限公司,02-26580505,有 YES,有 YES,2025-09-30 17:27:16
00058060,,,,2025-09-30 17:27:19,
00058224,,,,2025-09-30 17:27:19,
00058391,,,,2025-09-30 17:27:21,
00058420,辰酉國際股份有限公司,,有 YES,有 YES,2025-09-30 17:27:22
00058836,生輝智醫股份有限公司,0975166050,有 YES,有 YES,2025-09-30 17:27:23
00058879,,,,2025-09-30 17:27:23,
00060946,,,,2025-09-30 17:27:24,
00060988,,,,2025-09-30 17:27:26,
00060994,,,,2025-09-30 17:27:27,
00061092,,,,2025-09-30 17:27:28,
00061261,,,,2025-09-30 17:27:29,
00061699,,,,2025-09-30 17:27:30,
00061717,,,,2025-09-30 17:27:31,
00061945,,,,2025-09-30 17:27:32,
00062418,,,,2025-09-30 17:27:33,
00062515,,,,2025-09-30 17:27:35,
00062732,鋒全應用材料有限公司,,有 YES,有 YES,2025-09-30 17:27:36
00062894,,,,2025-09-30 17:27:37,
00062971,,,,2025-09-30 17:27:38,
00062986,,,,2025-09-30 17:27:40,
00063253,,,,2025-09-30 17:27:42,
00063275,,,,2025-09-30 17:27:43,
00063319,東禾環業股份有限公司,,有 YES,有 YES,2025-09-30 17:27:45
00063388,東泓股份有限公司,0952-071-069,有 YES,有 YES,2025-09-30 17:27:46
00063406,,,,2025-09-30 17:27:48,
00063541,,,,2025-09-30 17:27:54,
00063562,,,,2025-09-30 17:27:57,
00063649,,,,2025-09-30 17:27:58,
00063752,,,,2025-09-30 17:27:59,
00063768,,,,2025-09-30 17:28:00,
00063795,,,,2025-09-30 17:28:02,
00063943,,,,2025-09-30 17:28:04,
00063958,,,,2025-09-30 17:28:05,
00064008,,,,2025-09-30 17:28:07,
00064197,,,,2025-09-30 17:28:08,
00064247,,,,2025-09-30 17:28:10,
00064400,,,,2025-09-30 17:28:11,
00064648,,,,2025-09-30 17:28:12,
00064886,,,,2025-09-30 17:28:15,
00064915,,,,2025-09-30 17:28:16,
00065914,,,,2025-09-30 17:28:18,
00066049,曜宏投資有限公司,,有 YES,有 YES,2025-09-30 17:28:18
00066218,神燈智能科技股份有限公司,02-27892000#201,有 YES,有 YES,2025-09-30 17:28:19
00066250,,,,2025-09-30 17:28:20,
00066370,,,,2025-09-30 17:28:24,
00066527,,,,2025-09-30 17:28:25,
00066596,,,,2025-09-30 17:28:26,
00066907,,,,2025-09-30 17:28:27,
00066977,,,,2025-09-30 17:28:29,
00067075,,,,2025-09-30 17:28:32,
00067125,,,,2025-09-30 17:28:33,
00067130,聯鑫材料股份有限公司,,有 YES,有 YES,2025-09-30 17:28:34
00067390,鋐宜股份有限公司,02-87682688,有 YES,有 YES,2025-09-30 17:28:35
00067429,,,,2025-09-30 17:28:36,
00067510,,,,2025-09-30 17:28:37,
00067607,,,,2025-09-30 17:28:38,
00067624,,,,2025-09-30 17:28:39,
00067639,,,,2025-09-30 17:28:40,
00067687,,,,2025-09-30 17:28:41,
00067722,,,,2025-09-30 17:28:43,
00068004,,,,2025-09-30 17:28:44,
00068068,,,,2025-09-30 17:28:45,
00068200,,,,2025-09-30 17:28:49,
00068270,誠昱生技股份有限公司,,有 YES,有 YES,2025-09-30 17:28:50
00068583,永光興實業股份有限公司,02-2423-2134,有 YES,有 YES,2025-09-30 17:28:51
00068594,,,,2025-09-30 17:28:52,
00068757,泓泰聯合股份有限公司,,有 YES,有 YES,2025-09-30 17:28:57
00068911,河清海晏股份有限公司,0926-662740,有 YES,有 YES,2025-09-30 17:28:58
00068969,,,,2025-09-30 17:28:59,
00069067,,,,2025-09-30 17:29:00,
00069171,,,,2025-09-30 17:29:00,
00069593,,,,2025-09-30 17:29:02,
00069691,,,,2025-09-30 17:29:05,
00069720,,,,2025-09-30 17:29:06,
00069801,,,,2025-09-30 17:29:08,
00069806,,,,2025-09-30 17:29:08,
00069881,,,,2025-09-30 17:29:09,
00069952,,,,2025-09-30 17:29:11,
00069995,泓尚運作有限公司,02-23066594,有 YES,有 YES,2025-09-30 17:29:11
00070368,,,,2025-09-30 17:29:12,
00070472,,,,2025-09-30 17:29:13,
00070579,台灣迪睿合行銷股份有限公司,,有 YES,有 YES,2025-09-30 17:29:13
00070819,才學股份有限公司,,有 YES,有 YES,2025-09-30 17:29:14
00070830,秀泰全球影城股份有限公司,,有 YES,有 YES,2025-09-30 17:29:16
00071351,,,,2025-09-30 17:29:16,
00071373,,,,2025-09-30 17:29:17,
00071774,碧威士綠能股份有限公司,02-26983538#16,有 YES,有 YES,2025-09-30 17:29:18
00071839,,,,2025-09-30 17:29:19,
00071943,,,,2025-09-30 17:29:20,
00071958,,,,2025-09-30 17:29:21,
00072078,,,,2025-09-30 17:29:22,
00072128,,,,2025-09-30 17:29:23,
00072289,,,,2025-09-30 17:29:24,
00072437,,,,2025-09-30 17:29:24,
00072458,,,,2025-09-30 17:29:25,
00072507,,,,2025-09-30 17:29:26,
00072540,,,,2025-09-30 17:29:26,
00072555,,,,2025-09-30 17:29:28,
00072886,,,,2025-09-30 17:29:29,
00073007,,,,2025-09-30 17:29:32,
00073098,,,,2025-09-30 17:29:34,
00073148,,,,2025-09-30 17:29:34,
00073169,,,,2025-09-30 17:29:35,
00073359,鼎辰數能股份有限公司,02-27477088,有 YES,有 YES,2025-09-30 17:29:37
00073695,,,,2025-09-30 17:29:38,
00074006,,,,2025-09-30 17:29:40,
00074097,,,,2025-09-30 17:29:41,
00074385,,,,2025-09-30 17:29:41,
00074511,能合半導體股份有限公司,,有 YES,有 YES,2025-09-30 17:29:43
00074694,,,,2025-09-30 17:29:44,
00074701,,,,2025-09-30 17:29:45,
00074759,,,,2025-09-30 17:29:46,
00074836,,,,2025-09-30 17:29:47,
00075130,,,,2025-09-30 17:29:48,
00075173,,,,2025-09-30 17:29:49,
00075188,,,,2025-09-30 17:29:49,
00075309,德昕國際有限公司,,有 YES,有 YES,2025-09-30 17:29:50
00075429,,,,2025-09-30 17:29:50,
00075440,,,,2025-09-30 17:29:51,
00075650,,,,2025-09-30 17:29:53,
00075785,騰暘股份有限公司,02-77207110,有 YES,有 YES,2025-09-30 17:29:54
00075835,日昱資產股份有限公司,02-26761266,有 YES,有 YES,2025-09-30 17:29:55
00075841,,,,2025-09-30 17:29:56,
00075862,,,,2025-09-30 17:29:57,
00075899,,,,2025-09-30 17:29:58,
00076074,,,,2025-09-30 17:29:59,
00076449,,,,2025-09-30 17:29:59,
00076686,兆合科技股份有限公司,,有 YES,有 YES,2025-09-30 17:30:02
00076948,,,,2025-09-30 17:30:04,
00077215,,,,2025-09-30 17:30:05,
00077284,,,,2025-09-30 17:30:08,
00077329,,,,2025-09-30 17:30:09,
00077833,,,,2025-09-30 17:30:09,
00077854,,,,2025-09-30 17:30:11,
00077968,,,,2025-09-30 17:30:11,
00078072,台灣黑水實業股份有限公司,03-5566373,有 YES,有 YES,2025-09-30 17:30:13
00078170,,,,2025-09-30 17:30:14,
00078262,,,,2025-09-30 17:30:14,
00078278,,,,2025-09-30 17:30:15,
00078283,,,,2025-09-30 17:30:16,
00078447,,,,2025-09-30 17:30:17,
00078495,,,,2025-09-30 17:30:18,
00078880,,,,2025-09-30 17:30:18,
00079591,,,,2025-09-30 17:30:19,
00079939,,,,2025-09-30 17:30:20,
00080083,,,,2025-09-30 17:30:21,
00080149,,,,2025-09-30 17:30:22,
00080696,愛偲科技有限公司,,有 YES,有 YES,2025-09-30 17:30:23
00080719,,,,2025-09-30 17:30:24,
00080979,擎學股份有限公司,02-27915639,有 YES,有 YES,2025-09-30 17:30:25
00081371,,,,2025-09-30 17:30:25,
00081533,,,,2025-09-30 17:30:26,
00081549,,,,2025-09-30 17:30:27,
00081581,磐驪聯合建設有限公司,0933355129,有 YES,有 YES,2025-09-30 17:30:28
00081626,,,,2025-09-30 17:30:29,
00081983,,,,2025-09-30 17:30:30,
00082189,,,,2025-09-30 17:30:30,
00082239,,,,2025-09-30 17:30:32,
00082358,鴻聯控股有限公司,0989598519,有 YES,有 YES,2025-09-30 17:30:33
00082483,,,,2025-09-30 17:30:34,
00082688,,,,2025-09-30 17:30:35,
00082786,,,,2025-09-30 17:30:36,
00082821,,,,2025-09-30 17:30:36,
00082955,,,,2025-09-30 17:30:37,
00083048,,,,2025-09-30 17:30:38,
00083096,,,,2025-09-30 17:30:39,
00083103,,,,2025-09-30 17:30:40,
00083477,,,,2025-09-30 17:30:41,
00083618,,,,2025-09-30 17:30:41,
00084047,,,,2025-09-30 17:30:42,
00084068,,,,2025-09-30 17:30:43,
00084118,,,,2025-09-30 17:30:44,
00084145,,,,2025-09-30 17:30:45,
00084150,,,,2025-09-30 17:30:46,
00084341,,,,2025-09-30 17:30:46,
00084362,,,,2025-09-30 17:30:47,
00084412,,,,2025-09-30 17:30:48,
00084433,,,,2025-09-30 17:30:49,
00084763,,,,2025-09-30 17:30:50,
00084877,,,,2025-09-30 17:30:51,
00084975,,,,2025-09-30 17:30:52,
00085030,喜悅軒股份有限公司,,有 YES,有 YES,2025-09-30 17:30:53
00085094,,,,2025-09-30 17:30:54,
00085159,,,,2025-09-30 17:30:54,
00085361,,,,2025-09-30 17:30:55,
00085398,,,,2025-09-30 17:30:56,
00085616,熠發企業有限公司,,有 YES,有 YES,2025-09-30 17:30:57
00085658,宏昌基礎科技股份有限公司,02-27912177,有 YES,有 YES,2025-09-30 17:30:58
00085833,晨星環球投資股份有限公司,0926652255,有 YES,有 YES,2025-09-30 17:30:59
00085897,崑滙股份有限公司,,有 YES,有 YES,2025-09-30 17:30:59
00085952,,,,2025-09-30 17:31:00,
00086143,,,,2025-09-30 17:31:01,
00086349,,,,2025-09-30 17:31:02,
00086468,科滙泉生技股份有限公司,02-25164545,有 YES,有 YES,2025-09-30 17:31:02
00086565,,,,2025-09-30 17:31:03,
00086621,,,,2025-09-30 17:31:04,
00086740,,,,2025-09-30 17:31:05,
00086988,,,,2025-09-30 17:31:06,
00087006,,,,2025-09-30 17:31:07,
00087023,,,,2025-09-30 17:31:08,
00087327,丸籐餐飲有限公司,,有 YES,有 YES,2025-09-30 17:31:09
00087430,,,,2025-09-30 17:31:09,
00087473,,,,2025-09-30 17:31:10,
00087683,,,,2025-09-30 17:31:13,
00087804,,,,2025-09-30 17:31:13,
00088043,,,,2025-09-30 17:31:15,
00088212,德威鑫盈有限公司,,有 YES,有 YES,2025-09-30 17:31:17
00088326,,,,2025-09-30 17:31:17,
00088374,,,,2025-09-30 17:31:18,
00088418,,,,2025-09-30 17:31:19,
00088711,,,,2025-09-30 17:31:20,
00088796,,,,2025-09-30 17:31:21,
00088917,,,,2025-09-30 17:31:23,
00089296,可力生醫股份有限公司,,有 YES,有 YES,2025-09-30 17:31:26
00089599,,,,2025-09-30 17:31:27,
00089606,,,,2025-09-30 17:31:29,
00089768,嘉冠再生科技股份有限公司,02-24223838,有 YES,有 YES,2025-09-30 17:31:31
00089789,,,,2025-09-30 17:31:33,
00090097,,,,2025-09-30 17:31:34,
00090462,,,,2025-09-30 17:31:35,
00090483,華智數位娛樂股份有限公司,,有 YES,有 YES,2025-09-30 17:31:36
00090511,爛醉娛樂股份有限公司,,有 YES,有 YES,2025-09-30 17:31:37
00090706,,,,2025-09-30 17:31:38,
00090717,完美駕馭股份有限公司,02-27913100,有 YES,有 YES,2025-09-30 17:31:38
00090815,,,,2025-09-30 17:31:39,
00090842,,,,2025-09-30 17:31:41,
00091005,,,,2025-09-30 17:31:41,
00091363,,,,2025-09-30 17:31:42,
00091407,,,,2025-09-30 17:31:43,
